"ORIGIN_STATE_ABR","Frequency","Proportion"
"AK",1803,0.00491360985447212
"AL",1822,0.00496538943696517
"AR",1422,0.00387529296342726
"AZ",12125,0.0330435493541178
"CA",34399,0.0937455714830762
"CO",20830,0.0567667738594866
"CT",1093,0.00297868861394233
"FL",36923,0.1006240802311
"GA",24500,0.0667684090041969
"HI",5587,0.0152259224941407
"IA",1438,0.00391889682236878
"ID",2060,0.00561399683872023
"IL",17452,0.0475609091404589
"IN",3128,0.00852455442306644
"KS",927,0.0025262985774241
"KY",3706,0.0100997438273287
"LA",3539,0.00964462854962664
"MA",4609,0.0125606366163405
"MD",5064,0.0138006213549899
"ME",617,0.00168147381043222
"MI",11566,0.0315201395323486
"MN",9123,0.0248623753202158
"MO",5835,0.0159017823077342
"MS",812,0.00221289584128195
"MT",1850,0.00504169619011282
"NC",17758,0.0483948329427154
"ND",1317,0.00358914263912356
"NE",1621,0.00441761595901237
"NH",377,0.00102741592630948
"NJ",5337,0.0145446121981795
"NM",1136,0.00309587398484766
"NV",9544,0.0260097018586145
"NY",10258,0.0279555240638797
"OH",4634,0.0126287676459367
"OK",2168,0.00590832288657546
"OR",4124,0.0112388946421758
"PA",8264,0.0225213931432932
"PR",2091,0.00569847931541941
"RI",518,0.00141167493323159
"SC",3086,0.00841009429334496
"SD",993,0.00270616449555786
"TN",6858,0.0186897040388074
"TT",57,0.000155338747479152
"TX",42171,0.114926145963918
"UT",9154,0.024946857796915
"VA",8297,0.0226113261023601
"VI",558,0.00152068458058538
"VT",247,0.000673134572409658
"WA",9917,0.0270262168201886
"WI",2930,0.00798495666866518
"WV",323,0.000880252902381861
"WY",972,0.00264893443069712
